BRAND, PRODUCT DETAILS

EVGA,EVGA GeForce GTX 1660 Ti SC ULTRA GAMING  06G-P4-1667-KR  6GB GDDR6  Dual Fan  Metal Backplate
GIGABYTE,GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING OC-8GD (rev. 2.0) 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card
GIGABYTE,GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTD6-8GD 8GB 128-Bit GDDR6 PCI Express 4.0 x8 ATX Video Card
ZOTAC,ZOTAC GAMING GeForce RTX 2060 6GB GDDR6 192-bit Gaming Graphics Card  Super Compact  ZT-T20600K-10M
MSI,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card
ASRock,ASRock Phantom Gaming D3 Radeon RX 5600 XT RX5600XT PGD3 6GO 6GB (14Gbps) 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card
EVGA,EVGA GeForce GTX 1650 SUPER SC ULTRA GAMING Video Card  04G-P4-1357-KR  4GB GDDR6  Dual Fan  Metal Backplate
ASUS,ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-P-GAMING 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card
GIGABYTE,GIGABYTE GeForce GTX 1660 OC 6G Graphics Card  2 x WINDFORCE Fans  6GB 192-Bit GDDR5  GV-N1660OC-6GD Video Card
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card
ASRock,ASRock Phantom Gaming D Radeon RX 5700 XT 8G OC Video Card  RX5700XT PGD 8GO
